"YEAR","MONTH","CODE","ACE_CODE","NAME","ID","TTF_FLT","DURATION","CFMU_DURATION","CFMU_DISTANCE","UNIT_KIND","UNIT_PRU_TYPE","TDM_15_ERT_NA","TDM_15","TDF_15_ERT_NA","TDF_15_ARP","TDF_15"
2014,12,"AUSTROCONTROL","AUSTROCONTROL","Austro Control",4,59908,1127346,1127346,6913992,"ANSP","ANSP",0,6352,0,241,241
2015,4,"AUSTROCONTROL","AUSTROCONTROL","Austro Control",4,71931,1343496,1343496,8267230,"ANSP","ANSP",0,5496,0,240,240
2014,10,"BELGOCONTROL","BELGOCONTROL","Belgocontrol",5,51534,572307,572307,2584152,"ANSP","ANSP",593,2225,28,75,103
2015,1,"BELGOCONTROL","BELGOCONTROL","Belgocontrol",5,40502,469055,469055,2048199,"ANSP","ANSP",0,7085,0,236,236
2014,2,"BELGOCONTROL","BELGOCONTROL","Belgocontrol",5,36742,443006,443006,1910571,"ANSP","ANSP",0,2941,0,113,113
2014,3,"BELGOCONTROL","BELGOCONTROL","Belgocontrol",5,43887,522077,522077,2275289,"ANSP","ANSP",0,8043,0,243,243
2014,4,"BELGOCONTROL","BELGOCONTROL","Belgocontrol",5,47505,541816,541816,2409877,"ANSP","ANSP",0,7630,0,270,270
2015,2,"BELGOCONTROL","BELGOCONTROL","Belgocontrol",5,39179,453687,453687,1987803,"ANSP","ANSP",0,4445,0,170,170
2014,1,"BELGOCONTROL","BELGOCONTROL","Belgocontrol",5,38382,452572,452572,1986749,"ANSP","ANSP",0,2242,0,96,96
2014,5,"BELGOCONTROL","BELGOCONTROL","Belgocontrol",5,51407,595884,595884,2626460,"ANSP","ANSP",0,10497,0,397,397
2014,7,"BELGOCONTROL","BELGOCONTROL","Belgocontrol",5,54209,619087,619087,2797446,"ANSP","ANSP",482,5659,21,204,225
2014,6,"BELGOCONTROL","BELGOCONTROL","Belgocontrol",5,52328,605568,605568,2705360,"ANSP","ANSP",6429,16559,122,369,491
2014,9,"BELGOCONTROL","BELGOCONTROL","Belgocontrol",5,53607,618078,618078,2762216,"ANSP","ANSP",0,16708,0,533,533
2014,8,"BELGOCONTROL","BELGOCONTROL","Belgocontrol",5,51426,566641,566641,2558794,"ANSP","ANSP",0,919,0,42,42
2014,11,"BELGOCONTROL","BELGOCONTROL","Belgocontrol",5,42391,487969,487969,2173214,"ANSP","ANSP",0,11251,0,401,401
2014,12,"BELGOCONTROL","BELGOCONTROL","Belgocontrol",5,39694,453455,453455,2000827,"ANSP","ANSP",853,8211,41,273,314
2015,3,"BELGOCONTROL","BELGOCONTROL","Belgocontrol",5,45932,531815,531815,2339154,"ANSP","ANSP",0,3905,0,162,162
2015,4,"BELGOCONTROL","BELGOCONTROL","Belgocontrol",5,49423,569609,569609,2505995,"ANSP","ANSP",927,13792,42,464,506
2014,10,"CROATIACONTROL","CROATIACONTROL","Croatia Control",6,49138,1152785,1152785,8049576,"ANSP","ANSP",0,0,0,,0
2015,1,"CROATIACONTROL","CROATIACONTROL","Croatia Control",6,29094,669615,669615,4706174,"ANSP","ANSP",0,0,0,,0
2014,2,"CROATIACONTROL","CROATIACONTROL","Croatia Control",6,23845,550645,550645,3836988,"ANSP","ANSP",223,223,10,,10
2014,3,"CROATIACONTROL","CROATIACONTROL","Croatia Control",6,28346,662753,662753,4602488,"ANSP","ANSP",23,23,1,,1
2014,4,"CROATIACONTROL","CROATIACONTROL","Croatia Control",6,37257,877639,877639,6135385,"ANSP","ANSP",124,124,6,,6
2015,2,"CROATIACONTROL","CROATIACONTROL","Croatia Control",6,26695,616523,616523,4368895,"ANSP","ANSP",0,0,0,,0
2014,1,"CROATIACONTROL","CROATIACONTROL","Croatia Control",6,26694,617793,617793,4297112,"ANSP","ANSP",459,625,22,5,27
2014,7,"CROATIACONTROL","CROATIACONTROL","Croatia Control",6,64000,1522359,1522359,10569959,"ANSP","ANSP",27985,27985,932,,932
2014,6,"CROATIACONTROL","CROATIACONTROL","Croatia Control",6,56006,1352311,1352311,9340584,"ANSP","ANSP",5540,5797,244,7,251
2014,5,"CROATIACONTROL","CROATIACONTROL","Croatia Control",6,49803,1191772,1191772,8316419,"ANSP","ANSP",1967,2016,92,2,94
2014,8,"CROATIACONTROL","CROATIACONTROL","Croatia Control",6,67107,1606047,1606047,11165865,"ANSP","ANSP",56342,56652,2304,7,2311
2014,9,"CROATIACONTROL","CROATIACONTROL","Croatia Control",6,56452,1353378,1353378,9454268,"ANSP","ANSP",23760,23760,1024,,1024
2015,3,"CROATIACONTROL","CROATIACONTROL","Croatia Control",6,31934,735319,735319,5191643,"ANSP","ANSP",0,0,0,,0
2014,11,"CROATIACONTROL","CROATIACONTROL","Croatia Control",6,31552,717562,717562,5030909,"ANSP","ANSP",0,0,0,,0
2014,12,"CROATIACONTROL","CROATIACONTROL","Croatia Control",6,30674,700517,700517,4932459,"ANSP","ANSP",0,0,0,,0
2015,4,"CROATIACONTROL","CROATIACONTROL","Croatia Control",6,39661,944754,944754,6602411,"ANSP","ANSP",240,256,11,1,12
2014,8,"DCAC","DCAC","DCAC Cyprus",7,31290,884911,884911,6249261,"ANSP","ANSP",52970,53509,1720,20,1740
2014,7,"DCAC","DCAC","DCAC Cyprus",7,29341,838811,838811,5828902,"ANSP","ANSP",56091,56230,1673,6,1679
2014,10,"DCAC","DCAC","DCAC Cyprus",7,29699,853535,853535,6021525,"ANSP","ANSP",36466,36696,1206,5,1211
2015,3,"DCAC","DCAC","DCAC Cyprus",7,24018,701874,701874,4902914,"ANSP","ANSP",55682,55682,1772,0,1772
2015,1,"DCAC","DCAC","DCAC Cyprus",7,22372,651767,651767,4545940,"ANSP","ANSP",21356,21356,798,0,798
2014,2,"DCAC","DCAC","DCAC Cyprus",7,18282,545568,545568,3708741,"ANSP","ANSP",53077,53077,1743,,1743
2014,3,"DCAC","DCAC","DCAC Cyprus",7,21615,637402,637402,4396340,"ANSP","ANSP",47517,47517,1712,,1712
2014,4,"DCAC","DCAC","DCAC Cyprus",7,24611,712999,712999,5008825,"ANSP","ANSP",109741,110810,3540,41,3581
2014,1,"DCAC","DCAC","DCAC Cyprus",7,20229,598925,598925,4104438,"ANSP","ANSP",44998,44998,1603,,1603
2014,6,"DCAC","DCAC","DCAC Cyprus",7,28019,803184,803184,5615149,"ANSP","ANSP",10443,11080,392,22,414
2014,5,"DCAC","DCAC","DCAC Cyprus",7,26737,773081,773081,5378073,"ANSP","ANSP",18337,18927,702,20,722
2014,9,"DCAC","DCAC","DCAC Cyprus",7,28553,808874,808874,5719742,"ANSP","ANSP",26164,26164,860,,860
2014,12,"DCAC","DCAC","DCAC Cyprus",7,22643,665045,665045,4601883,"ANSP","ANSP",3417,3417,145,,145
2014,11,"DCAC","DCAC","DCAC Cyprus",7,23309,684307,684307,4767489,"ANSP","ANSP",24524,24524,827,,827
2015,2,"DCAC","DCAC","DCAC Cyprus",7,19806,576487,576487,4011750,"ANSP","ANSP",16525,16525,633,0,633
2015,4,"DCAC","DCAC","DCAC Cyprus",7,26686,769634,769634,5397125,"ANSP","ANSP",101109,101109,3259,0,3259
2014,10,"DFS","DFS","DFS",8,254533,7532671,7532671,43857353,"ANSP","ANSP",28244,94758,1210,1715,2925
2015,3,"DFS","DFS","DFS",8,216526,6400283,6400283,36607539,"ANSP","ANSP",11682,28818,407,551,958
2015,1,"DFS","DFS","DFS",8,192988,5643590,5643590,32582010,"ANSP","ANSP",4671,17991,202,391,593
2014,2,"DFS","DFS","DFS",8,183921,5474922,5474922,31039097,"ANSP","ANSP",4566,12482,201,322,523
2014,3,"DFS","DFS","DFS",8,212915,6330505,6330505,35978613,"ANSP","ANSP",5177,13991,240,344,584
2014,1,"DFS","DFS","DFS",8,192070,5629519,5629519,32455480,"ANSP","ANSP",9193,26722,350,673,1023
2014,4,"DFS","DFS","DFS",8,224251,6601742,6601742,38366913,"ANSP","ANSP",24051,45002,943,638,1581
2014,5,"DFS","DFS","DFS",8,254006,7518459,7518459,44074936,"ANSP","ANSP",58603,105284,2271,1726,3997
2014,6,"DFS","DFS","DFS",8,258482,7566814,7566814,44805006,"ANSP","ANSP",93575,124810,3555,1089,4644
2014,7,"DFS","DFS","DFS",8,268494,7893853,7893853,46984611,"ANSP","ANSP",145825,226736,5141,2164,7305
2015,2,"DFS","DFS","DFS",8,185052,5465700,5465700,31287345,"ANSP","ANSP",7617,27895,309,684,993
2014,8,"DFS","DFS","DFS",8,261410,7600768,7600768,45432980,"ANSP","ANSP",65839,114127,2502,1307,3809
2014,9,"DFS","DFS","DFS",8,261781,7729489,7729489,45528107,"ANSP","ANSP",64786,97507,2557,1268,3825
2014,11,"DFS","DFS","DFS",8,208908,6198703,6198703,35490209,"ANSP","ANSP",7273,44134,325,1163,1488
2014,12,"DFS","DFS","DFS",8,191846,5634033,5634033,32657793,"ANSP","ANSP",19015,58124,773,697,1470
