"ANSP_NAME","PRU_ATC_TYPE","AUA_CODE","AUA_NAME"
"ENAV","APP","LIPZCTR","VENEZIA"
"ENAV","APP","LIPQCTR","RONCHI DEI LEGIONARI"
"ENAV","APP","LIPYCTR","ANCONA APP"
"ENAV","FIS","LICDCTR","LAMPEDUSA AFIS"
"Finavia","ACC","EFINCTA","EFIN ACC"
"Finavia","APP","EFKUTMA","KUOPIO APPROACH"
"Finavia","APP","EFTPTMA","PIRKKALA APPROACH"
"Finavia","APP","EFUTTMA","UTTI APPROACH"
"Finavia","APP","EFHATMA","HALLI APPROACH"
"Finavia","APP","EFJYTMA","JYVASKYLA APPROACH"
"Finavia","APP","EFKTTMA","KITTILA APP"
"Finavia","APP","EFKSTMA","KUUSAMO APP"
"Finavia","APP","EFHKTMA","HELSINKI/VANTAA APP"
"Finavia","APP","EFIVTMA","IVALO"
"Finavia","APP","EFJOTMA","JOENSUU"
"Finavia","APP","EFKETMA","KEMI-TORNIO"
"Finavia","APP","EFKKCTR","KOKKOLA-PIETARSAARI"
"Finavia","APP","EFLPTMA","LAPPEENRANTA"
"Finavia","APP","EFMATMA","MARIEHAMN"
"Finavia","APP","EFOUTMA","OULU"
"Finavia","APP","EFPOCTR","PORI"
"Finavia","APP","EFTUTMA","TURKU"
"Finavia","APP","EFVATMA","VAASA"
"Finavia","APP","EFROTMA","ROVANIEMI APPROACH"
"Finavia","FIS","EFSACTR","SAVONLINNA AFIS"
"Finavia","FIS","EFVRCTR","VARKAUS AFIS"
"Finavia","FIS","EFKICTR","KAJAANI AFIS"
"Finavia","FIS","EFETCTR","ENONTEKIO AFIS"
"HCAA","ACC","LGGGCTA","ATHINAI ACC"
"HCAA","ACC","LGMDCTA","MAKEDONIA ACC"
"HCAA","APP","LGAVTMA","ATHINAI APP"
"HCAA","APP","LGTSTMA","MAKEDONIA APP"
"HCAA","APP","LGIRTMA","N. KAZANTZAKIS APP"
"HCAA","APP","LGKRTMA","I. KAPODISTRIAS APP"
"HungaroControl (EC)","ACC","LHCCCTA","BUDAPEST ACC"
"HungaroControl (EC)","APP","LHBPTMA","BUDAPEST APPROACH"
"IAA","ACC","EISNCTA","SHANNON ACC"
"IAA","ACC","EIDWCTA","DUBLIN ACC"
"IAA","APP","EIDWCTR","DUBLIN TOWER"
"IAA","APP","EINNCTR","SHANNON TOWER"
"IAA","APP","EICKCTR","CORK TOWER"
"LFV","ACC","ESMMCTA","MALMO ACC"
"LFV","ACC","ESOSCTA","STOCKHOLM ACC"
"LFV","APP","ESDFTMA","RONNEBY APPROACH"
"LFV","APP","ESGGTMA","GOTEBORG TMC"
"LFV","APP","ESIBTMA","SATENAS APPROACH"
"LFV","APP","ESMQTMA","KALMAR APPROACH/TWR"
"LFV","APP","ESPETMA","VIDSEL APPROACH"
"LFV","APP","ESGJTMA","JONKOPING TOWER"
"LFV","APP","ESMKTMA","KRISTIANSTAD/EVEROD"
"LFV","APP","ESMTTMA","HALMSTAD TOWER"
"LFV","APP","ESNQCTR","KIRUNA TOWER"
"LFV","APP","ESNSCTR","SKELLEFTEA TOWER"
"LFV","APP","ESNUCTR","UMEA TOWER"
"LFV","APP","ESSACTR","STOCKHOLM/ARLANDA"
"LFV","APP","ESSVTMA","VISBY TOWER"
"LFV","APP","ESTLTMA","LJUNGBYHED TOWER"
"LFV","APP","ESPATMA","KALLAX TMC"
"LFV","APP","ESTATMA","ANGELHOLM TOWER"
"LFV","APP","ESSDTMA","BORLANGE TOWER"
"LFV","APP","ESSPTMA","NORRKOPING/KUNGSANGE"
"LFV","APP","ESNZTMA","OSTERSUND TMC"
"LFV","APP","ESIATMA","KARLSBORG APPROACH"
"LFV","APP","ESNDTMA","SVEG APPROACH"
"LFV","APP","ESOKCTR","KARLSTAD/TOWER"
"LFV","APP","ESGTTMA","TROLLHATTEN TOWER"
"LFV","APP","ESSATMA","STOCKHOLM APPROACH"
"LFV","APP","ESNOTMA","ORNSKOLDSVIK TOWER"
"LGS","ACC","EVRRCTA","RIGA ACC"
"LGS","ACC","EVRR1CTA","RIGA ACC"
"LGS","APP","EVLATMA","LIEPAJA APP"
"LPS","ACC","LZBBCTA","BRATISLAVA ACC"
"LPS","APP","LZTTTMA","TATRY APP"
"LPS","APP","LZPPTMA","PIESTANY APP"
"LPS","APP","LZZITMA","ZILINA APP"
"LPS","APP","LZPWCTR","PRESOV TOWER"
"LPS","APP","LZSLTMA","SLIAC APP"
"LPS","APP","LZKZTMA","KOSICE APP"
"LPS","APP","LZIBTMA","APPROACH CONTROL"
"LVNL","ACC","EHAACTA","AMSTERDAM CONTROL"
"LVNL","APP","EHGGCTR","EELDE TOWER"
"LVNL","APP","EHAMCTR","SCHIPHOL AMSTERDAM"
