"YEAR","MONTH_NUM","ANSP_NAME","FLT_1","DIST_KM_1","DUR_MIN_1","DLY_FLT_1","DLY_FLT_15_1","DLY_1","DLY_15_1","APT_DLY_FLT_1","APT_DLY_FLT_15_1","APT_DLY_1","APT_DLY_15_1","ERT_DLY_FLT_1","ERT_DLY_FLT_15_1","ERT_DLY_1","ERT_DLY_15_1","ERT_DLY_A_1","ERT_DLY_C_1","ERT_DLY_D_1","ERT_DLY_E_1","ERT_DLY_G_1","ERT_DLY_I_1","ERT_DLY_M_1","ERT_DLY_N_1","ERT_DLY_O_1","ERT_DLY_P_1","ERT_DLY_R_1","ERT_DLY_S_1","ERT_DLY_T_1","ERT_DLY_V_1","ERT_DLY_W_1","ERT_DLY_NA_1"
2014,3,"Oro Navigacija",16444,2685024.044,233563,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3,"HCAA",34325,19573721.328,1575578,46,23,777,587,0,0,0,0,46,23,777,587,0,0,0,0,0,0,0,0,0,0,0,0,777,0,0,0
2014,3,"LGS",17903,4210336.8,345579,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3,"NAV Portugal (Santa Maria)",9870,15954957.776,1087794,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3,"Austro Control",61631,12957119.82,1137502,275,169,6848,5871,275,169,6848,5871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,3,"Belgocontrol",43887,4213835.228,522079,457,243,9819,8043,457,243,9819,8043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,3,"DCAC Cyprus",21615,8142021.68,637403,3093,1712,59244,47517,0,0,0,0,3093,1712,59244,47517,0,33104,0,0,0,0,8022,0,0,205,0,17913,0,0,0,0
2014,3,"DFS",212915,66632391.276,6330507,1476,584,21493,13991,666,344,11796,8814,810,240,9697,5177,0,5109,0,0,254,0,120,0,308,1472,0,2012,0,0,422,0
2014,3,"DSNA",211514,110528861.972,9463152,7444,4355,180978,154081,580,324,14860,12720,6864,4031,166118,141361,0,45788,0,0,0,106916,705,0,2006,0,0,10426,14,0,263,0
2014,3,"EANS",14167,3685524.448,303497,11,8,213,184,0,0,0,0,11,8,213,184,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,3,"PANSA",51850,22715907.868,1869238,1208,559,18889,13321,0,0,0,0,1208,559,18889,13321,0,1225,0,0,0,0,0,0,1517,13990,0,2157,0,0,0,0
2014,3,"LVNL",45267,5500308.508,729715,1719,697,24171,15299,1514,606,20866,12853,205,91,3305,2446,0,1468,0,0,0,0,0,0,0,1837,0,0,0,0,0,0
2014,3,"NAVIAIR",52006,11357245.544,1044985,20,8,258,174,20,8,258,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,3,"UkSATSE",32746,20445029.916,1591876,14,9,252,209,14,9,252,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,3,"SMATSA",30819,9086063.864,708883,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3,"BULATSA",34720,9492729.728,716301,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3,"IAA",40296,16314230.96,1261347,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3,"ENAIRE",118947,65112164.112,5613383,1251,547,19095,12937,80,31,1060,626,1171,516,18035,12311,0,12636,0,0,0,0,331,0,2285,0,0,0,0,0,2783,0
2014,3,"ANS CR",50299,12630960.396,1022336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3,"NATS (Continental)",167295,60492014.9,5990674,1033,664,30537,27257,1033,664,30537,27257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,3,"ROMATSA",36251,16991972.212,1315020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3,"Avinor (Continental)",52464,17250370.66,1963340,274,128,4046,2828,193,99,3014,2213,81,29,1032,615,0,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,3,"NAV Portugal (Continental)",37953,19850645.332,1574118,252,123,4316,3203,102,60,2188,1804,150,63,2128,1399,0,2128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,3,"MoldATSA",4882,951726.132,74775,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3,"SAKAERONAVIGATSIA",9372,3508906.616,262019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3,"DHMI",84599,59624630.7,4912233,776,335,11633,7875,47,17,656,408,729,318,10977,7467,0,0,0,0,0,0,0,0,10977,0,0,0,0,0,0,0
2014,3,"HungaroControl",41798,10177267.82,798531,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3,"M-NAV",5346,643427.396,52347,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3,"Skyguide",89563,15449398.816,1481771,2553,906,34226,20039,2256,772,29446,16632,297,134,4780,3407,0,3229,0,0,0,0,0,0,0,0,0,1551,0,0,0,0
2014,3,"Albcontrol",11609,1880631.92,143362,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3,"ENAV",106278,48087055.916,4196676,217,131,5114,4486,217,131,5114,4486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,3,"LPS",27501,4879545.888,378635,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3,"MUAC",128870,37481196.404,2765473,237,61,2745,1261,0,0,0,0,237,61,2745,1261,0,964,0,0,0,0,699,0,0,0,0,1082,0,0,0,0
2014,3,"Slovenia Control",15037,2005477.092,170357,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3,"Croatia Control",28346,8523807.776,662753,8,1,78,23,0,0,0,0,8,1,78,23,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0
2014,3,"ARMATS",4542,899351.572,70143,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3,"Finavia",19560,5851636.612,587886,50,28,857,682,50,28,857,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,3,"LFV",58503,23618150.412,2176478,180,95,3182,2460,171,94,3111,2444,9,1,71,16,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0
2014,3,"MATS",8981,4387541.716,351356,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,4,"EANS",14932,3851909.98,306914,15,5,188,96,0,0,0,0,15,5,188,96,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,4,"LPS",30967,5345935.048,410977,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,4,"M-NAV",8900,1130208.928,88285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,4,"MATS",9304,4333387.384,364715,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,4,"Finavia",19216,5600946.188,561892,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,4,"NAVIAIR",52169,11377726.812,1030988,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,4,"Albcontrol",14169,2340070.524,176671,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,4,"ROMATSA",44104,18679901.68,1438385,,,,,,,,,,,,,,,,,,,,,,,,,,,,
