"YEAR","MONTH_NUM","ANSP_NAME","ENTITY_NAME","ENTITY_TYPE","ENTITY_CODE","FLT_1","DIST_KM_1","DUR_MIN_1","DLY_FLT_1","DLY_FLT_15_1","DLY_1","DLY_15_1","APT_DLY_FLT_1","APT_DLY_FLT_15_1","APT_DLY_1","APT_DLY_15_1","ERT_DLY_FLT_1","ERT_DLY_FLT_15_1","ERT_DLY_1","ERT_DLY_15_1","ERT_DLY_A_1","ERT_DLY_C_1","ERT_DLY_D_1","ERT_DLY_E_1","ERT_DLY_G_1","ERT_DLY_I_1","ERT_DLY_M_1","ERT_DLY_N_1","ERT_DLY_O_1","ERT_DLY_P_1","ERT_DLY_R_1","ERT_DLY_S_1","ERT_DLY_T_1","ERT_DLY_V_1","ERT_DLY_W_1","ERT_DLY_NA_1"
2015,3,"LFV","VISBY TOWER","APP","ESSVTMA",955,42218.192,7429,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"DHMI","SAMSUN/CARSAMBA","APP","LTFHTMA",1022,60684.484,8286,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"Finavia","TURKU","APP","EFTUTMA",693,33645.284,4945,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"IAA","Dublin","ACC","EIDWACC",15902,1465920.968,165195,38,16,594,432,38,16,594,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,3,"PANSA","Warszawa","ACC","EPWWACC",48387,18890646.316,1406751,341,122,4869,2987,9,2,99,64,332,120,4770,2923,0,4770,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,3,"DSNA","Paris","ACC","LFFFALL",93356,19840939,2032158,760,318,14284,10348,282,125,7394,5945,478,193,6890,4403,0,6351,0,0,0,0,539,0,0,0,0,0,0,0,0,0
2015,3,"ENAV","Milano","ACC","LIMMACC",57125,11863208.24,1088663,28,14,1208,1100,27,14,1199,1100,1,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
2015,3,"ENAV","Roma","ACC","LIRRACC",54742,20961400.852,1796332,217,129,6868,6120,216,128,6849,6101,1,1,19,19,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
2015,3,"NAV Portugal (Continental)","Lisboa","ACC","LPPCACC",36773,18903721.436,1461355,709,323,11775,8490,209,129,4891,4261,500,194,6884,4229,0,6859,0,0,0,0,0,0,0,0,0,25,0,0,0,0
2015,3,"LFV","Stockholm","ACC","ESOSACC",33675,7364452.072,675498,25,14,599,494,25,14,599,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,3,"Croatia Control","SPLIT APP","APP","LDSPTMA",574,54634,8282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"LFV","BORLANGE TOWER","APP","ESSDTMA",259,3765.116,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"DCAC Cyprus","AKROTIRI APP","APP","LCRACTR",565,19790.472,3681,,,,,,,,,,,,,,,,,,,,,,,,,,,,
